5355.4222 	1000    good	NeI 150   
5358.363 	1000    good	Ar II
5360.0108 	1000    good	NeI 150   
5362.244 	1000    good	Xe
5363.20  	1000    good	XeII 200 
5364.626 	1000    good	Xe
5367.1   	1000    good	XeIII 30 
5368.07  	1000    good	XeII 200 
5372.3107 	1000    good	NeI 75   
5372.39  	1000    good	XeII 500 
5373.4943 	1000    good	ArI
5374.9768 	1000    good	NeI 50   
5384.63  	1000    good	Hg
5387.37  	1000    good	Ar I
5389.10  	1000    good	Ar I
5392.795 	1000    good	Xe
5392.80  	1000    good	XeI 100 
5393.971 	1000    good	Ar I
5394.738 	1000    good	Xe
5397.522 	1000    good	Ar II
5400.560    	1000    good	Ne
5400.5618 	1000    good	NeI 2000   
5401.0   	1000    good	XeIII 50 
5402.604 	1000    good	Ar II
5407.348 	1000    good	Ar II
5410.4730 	1000    good	ArI
5410.475 	1000    good	Ar I
5412.6483 	1000    good	NeI 250   
5418.5589 	1000    good	NeI 150   
5419.15  	1000    good	XeII 3000 
5420.1580 	1000    good	NeI 50   
5421.3517	1000    good
5421.354 	1000    good	Ar I
5429.742 	1000    good	Cu III
5433.6509 	1000    good	NeI 250   
5438.96  	1000    good	XeII 800 
5439.9891	1000    good
5439.99		1000    good
5439.990 	1000    good	Ar I
5442.2427	1000    good
5443.21  	1000    good	Ar I
5443.6893	1000    good
5446.9893 	1000    good	Cu III
5445.45  	1000    good	XeII 300 
5448.5097 	1000    good	NeI 150   
5450.45  	1000    good	XeII 200 
5451.652	1000    good
5451.6520	1000    good
5451.654  	1000    good	Ar I
5451.654 	1000    good	Ar I
5454.307 	1000    good	Ar II
5457.41  	1000    good	Ar I  (200)
5457.4157	1000    good
5457.416  	1000    good	Ar I  (200)
5457.75   	1000    good	Ar I  (10)
5457.75  	1000    good	Ar I  (10)
5460.39  	1000    good	XeII 400 
5460.730    	1000    good	Kr
5460.735 	1000    good	Hg
5460.735 	1000    good	Hg
5467.1608	1000    good
5467.162 	1000    good	Ar I
5472.61  	1000    good	XeII 1000 
5473.4516	1000    good
5473.455 	1000    good	Ar I
5490.1194	1000    good
5490.122 	1000    good	Ar I
5494.4160 	1000    good	NeI 50   
5494.86  	1000    good	XeII 100l 
5495.873  	1000    good	ArI 25
5495.8738	1000    good
