-----------------------------------------------
Spec.  | Wavelength |  Rel. | gk | Aki       
       |   Vacuum   |  Int. |    | (10^8s-1) 
       |    (A)     |       |    |           
-----------------------------------------------
Xe I   |   9377.33  |   100 | _  |           
Xe I   |   9515.99  |   200 | _  |           
       |            |       |    |           
Xe II  |   9593.98  |   50w | _  |           
Xe I   |   9687.98  |   150 | _  |           
Xe II  |   9701.34  |   50l | _  |           
Xe I   |   9720.83  |   100 | _  |           
Xe I   |   9802.39  |  2000 | _  |           
       |            |       |    |           
Xe I   |   9925.91  |  3000 | _  |           
Xe I   |  10841.34  |   100 | _  |           
-----------------------------------------------
