-------------------------------------------------------
Spec.   | Wavelength |  Rel. | gk | Aki       | Acc  
        |   Vacuum   |  Int. |    | (10^8s-1) |      
        |    (A)     |       |    |           |      
-------------------------------------------------------
Ne I    |  3686.7850 |  1100 | 3  | 3.9e-03   | D    
        |            |       |    |           |      
Ne II   |  3695.263  |   200 | 6  | 1.0e+00   | D    
Ne II   |  3698.176  |       | 2  | 2.8e-01   | D    
Ne I    |  3702.2783 |  1100 | 5  | 2.2e-03   | D    
Ne II   |  3702.830  |       | 6  | 2.7e-01   | D    
Ne II   |  3710.676  |   150 | 2  | 1.1e+00   | D    
        |            |       |    |           |      
Ne II   |  3714.136  |   250 | 6  | 1.3e+00   | D    
Ne II   |  3722.879  |       | 6  | 2.0e-01   | D-   
Ne II   |  3727.933  |       | 4  | 1.2e-01   | D    
Ne II   |  3728.165  |   250 | 4  | 9.8e-01   | D    
Ne II   |  3733.839  |       | 4  | 3.0e-02   | D    
        |            |       |    |           |      
Ne II   |  3735.999  |       | 4  | 1.9e-01   | D    
Ne II   |  3745.692  |       | 4  | 2.6e-01   | D    
Ne II   |  3752.310  |       | 2  | 1.8e-01   | D    
Ne II   |  3754.846  |       | 6  | 4.5e-01   | D-   
Ne I    |  3755.2826 |   230 | 3  |           |      
        |            |       |    |           |      
Ne II   |  3755.952  |       | 2  | 9.5e-03   | D    
Ne I    |  3766.9096 |    5f | 3  |           |      
Ne II   |  3767.328  |   800 | 6  | 2.9e-01   | D    
Ne I    |  3769.1381 |    5f | 5  |           |      
Ne I    |  3770.5320 |    7f | 7  |           |      
        |            |       |    |           |      
Ne I    |  3770.7482 |    5f | 5  |           |      
Ne II   |  3777.955  |       | 2  | 7.4e-03   | D    
Ne II   |  3778.207  |  1000 | 4  | 4.2e-01   | D    
Ne II   |  3791.994  |       | 4  | 1.7e-02   | D    
Ne II   |  3801.043  |       | 4  | 3.7e-01   | D    
        |            |       |    |           |      
Ne II   |  3807.331  |       | 6  | 1.3e-02   | D    
Ne II   |  3819.507  |   100 | 4  | 6.1e-01   | D    
Ne II   |  3830.838  |   120 | 6  | 8.4e-01   | D    
Ne III  |  3869.85   |       | 5  | 1.70e-09  | C    
Ne III  |  3869.85   |       | 5  | 3.0e-12   | D    
        |            |       |    |           |      
Ne I    |  3883.8119 |    2f | 3  |           |      
Ne I    |  3888.2451 |    1f | 5  |           |      
Ne I    |  3890.5355 |    5f | 7  |           |      
