# This standard spectrum was made by Joe Hennawi by combining the
# Massey P., Strobel K., Barnes J.V., Anderson E. Astrophys. J. 328, 315 (1988)
# measurements with the Hamuy standards on the ESO webpage, i.e. 
# (Hamuy et al., PASP, 104, 533, 1992); 
#the second to wavelengths from 6000 to 10500A (Hamuy et al., PASP, 
# 106, 566, 1994). 
#http://www.eso.org/sci/observing/tools/standards/spectra/hamuystandards.html
# Note that the Massey data were presented in the Hayes-Latham system 
# system which I converted assuming they were AB mags. This probably 
# results in a small shift, but it matches on very well to the Hamuy data. 
#      LAM            FLAM (1d-16)
      4993.68       2902.5480
      4995.76       2902.8006
      4997.84       2892.3825
      4999.92       2879.3456
      5002.00       2871.6560
      5004.09       2874.5573
      5006.17       2882.7699
      5008.25       2877.7220
      5010.33       2851.5959
      5012.41       2815.3149
      5014.49       2782.0619
      5016.57       2759.3460
      5018.66       2757.0581
      5020.74       2780.2626
      5022.82       2814.0108
      5024.90       2822.0574
      5026.98       2827.5236
      5029.06       2832.9987
      5031.14       2838.4884
      5033.23       2846.6108
      5035.31       2849.5015
      5037.39       2844.5254
      5039.47       2839.5609
      5041.55       2837.2173
      5043.63       2824.4492
      5045.71       2801.4032
      5047.79       2773.4309
      5049.88       2760.9553
      5051.96       2763.7665
      5054.04       2781.9121
      5056.12       2802.7584
      5058.20       2803.0342
      5060.28       2792.9999
      5062.36       2777.8812
      5064.45       2765.3925
      5066.53       2768.2148
      5068.61       2788.9643
      5070.69       2802.1193
      5072.77       2804.9820
      5074.85       2813.0250
      5076.93       2818.4971
      5079.02       2837.0154
      5081.10       2850.3993
      5083.18       2855.9465
      5085.26       2840.4975
      5087.34       2822.5341
      5089.42       2804.6822
      5091.50       2784.3800
      5093.58       2759.1393
      5095.67       2731.6096
      5097.75       2726.8686
      5099.83       2729.6664
      5101.91       2729.9512
      5103.99       2730.2399
      5106.07       2733.0439
      5108.15       2735.8515
      5110.24       2736.1437
      5112.32       2733.9160
      5114.40       2746.8282
      5116.48       2767.4385
      5118.56       2770.2886
      5120.64       2735.0908
      5122.72       2715.3059
      5124.81       2720.6086
      5126.89       2735.9826
      5128.97       2746.3810
      5131.05       2741.6264
      5133.13       2734.3623
      5135.21       2729.6298
      5137.29       2732.4494
      5139.38       2730.2364
      5141.46       2728.0262
      5143.54       2715.7936
      5145.62       2698.6435
      5147.70       2679.1332
      5149.78       2681.9032
      5151.86       2699.5529
      5153.94       2712.3222
      5156.03       2710.1327
      5158.11       2710.4420
      5160.19       2708.2562
      5162.27       2701.0904
