# This standard spectrum was made by Joe Hennawi by combining the
# http://www.ing.iac.es/Astronomy/observing/manuals/html_manuals/tech_notes/tn065-100/w1346a.oke spectrum which extends to 10640
# with the higher resolution spectrum on NAOJ website
# http://www.naoj.org/Observing/Instruments/FOCAS/Detail/UsersGuide/Observing/StandardStar/Spec/PLOTDATA/data/wolf1346.dat
# both of these files were in AB magnitudes. 
#      LAM            FLAM (1d-16)
      4989.60       1177.8463
      4991.69       1182.2962
      4993.77       1172.6377
      4995.85       1161.9886
      4997.93       1144.0367
      5000.02       1140.9796
      5002.10       1145.2920
      5004.18       1145.3941
      5006.26       1129.7791
      5008.34       1123.6534
      5010.43       1131.0230
      5012.51       1142.6431
      5014.59       1144.8525
      5016.67       1144.9568
      5018.76       1150.3461
      5020.84       1155.7619
      5022.92       1155.8673
      5025.00       1138.0153
      5027.08       1129.7655
      5029.17       1124.6793
      5031.25       1118.5851
      5033.33       1115.6032
      5035.41       1117.7643
      5037.50       1120.9632
      5039.58       1124.1706
      5041.66       1130.5075
      5043.74       1127.4957
      5045.83       1116.2365
      5047.91       1099.0007
      5049.99       1090.0328
      5052.07       1075.1809
      5054.15       1069.3590
      5056.24       1077.3731
      5058.32       1101.5603
      5060.40       1110.8385
      5062.48       1105.8426
      5064.57       1095.8125
      5066.65       1104.0254
      5068.73       1103.1186
      5070.81       1096.1389
      5072.89       1093.2239
      5074.98       1106.5029
      5077.06       1114.7982
      5079.14       1107.7460
      5081.22       1099.7253
      5083.31       1095.7922
      5085.39       1094.8952
      5087.47       1087.9694
      5089.55       1094.1107
      5091.64       1110.4679
      5093.72       1103.4460
      5095.80       1092.4359
      5097.88       1094.5642
      5099.96       1101.7582
      5102.05       1100.8591
      5104.13       1108.0961
      5106.21       1118.4668
      5108.29       1122.7135
      5110.38       1111.5139
      5112.46       1094.3623
      5114.54       1086.4443
      5116.62       1085.5601
      5118.70       1079.6934
      5120.79       1068.9255
      5122.87       1066.0904
      5124.95       1067.1889
      5127.03       1060.4454
      5129.12       1048.9039
      5131.20       1045.1608
      5133.28       1048.1673
      5135.36       1055.0631
      5137.45       1059.0741
      5139.53       1069.9770
      5141.61       1081.9881
      5143.69       1088.1048
      5145.77       1074.2845
      5147.86       1056.7393
      5149.94       1050.0665
      5152.02       1054.0599
      5154.10       1064.9134
      5156.19       1077.8628
      5158.27       1081.9642
      5160.35       1071.1793
      5162.43       1055.6308
      5164.51       1051.8689
      5166.60       1057.8194
      5168.68       1058.9158
      5170.76       1050.2963
      5172.84       1050.4173
      5174.93       1049.5723
      5177.01       1044.8718
      5179.09       1045.9567
      5181.17       1059.6553
      5183.25       1071.5575
      5185.34       1068.7266
      5187.42       1052.2478
      5189.50       1032.2127
      5191.58       1020.9887
      5193.67       1022.9930
      5195.75       1025.9459
      5197.83       1030.8051
      5199.91       1030.9284
      5202.00       1022.5406
      5204.08       1014.2224
      5206.16       1019.0266
      5208.24       1024.7979
      5210.32       1022.0945
      5212.41       1018.4599
      5214.49       1021.4032
      5216.57       1017.7717
      5218.65       1000.2391
      5220.74       988.45604
      5222.82       990.40093
      5224.90       1008.0096
      5226.98       1013.7212
      5229.06       1003.6274
      5231.15       997.30233
      5233.23       1003.8781
      5235.31       1016.0983
      5237.39       1011.5565
      5239.48       1008.8925
      5241.56       1010.8807
      5243.64       1004.5109
      5245.72       1000.0229
      5247.81       1000.1507
      5249.89       1006.7476
      5251.97       1003.1734
      5254.05       997.77372
      5256.13       992.40261
      5258.22       992.52992
      5260.30       999.99912
      5262.38       996.45147
      5264.46       991.08874
      5266.55       993.95994
      5268.63       998.67848
      5270.71       993.30469
      5272.79       999.86004
      5274.88       1007.3874
      5276.96       1002.8904
      5279.04       989.26082
      5281.12       976.71639
      5283.20       973.25340
      5285.29       976.07589
      5287.37       991.61171
      5289.45       985.37036
      5291.53       977.36731
      5293.62       978.39915
      5295.70       983.95316
      5297.78       979.56382
      5299.86       976.09399
      5301.94       978.02554
      5304.03       978.15860
      5306.11       963.09350
      5308.19       954.39399
      5310.27       963.35631
      5312.36       971.50820
      5314.44       977.92573
      5316.52       981.67027
      5318.60       983.61618
      5320.69       977.42941
      5322.77       957.95613
      5324.85       942.33680
      5326.93       938.13719
      5329.01       953.07501
      5331.10       955.84547
      5333.18       959.50772
      5335.26       962.29745
      5337.34       958.01096
      5339.43       942.39215
      5341.51       927.88258
      5343.59       922.89968
      5345.67       926.43739
      5347.75       932.56178
      5349.84       941.32520
      5351.92       950.17064
      5354.00       953.81407
      5356.08       953.07271
      5358.17       935.81141
      5360.25       935.94657
      5362.33       939.53681
      5364.41       934.49397
      5366.50       923.50517
      5368.58       927.04853
      5370.66       940.94745
      5372.74       948.04495
      5374.82       951.68229
      5376.91       955.33493
      5378.99       961.65555
      5381.07       962.68292
      5383.15       958.40105
      5385.24       941.91380
      5387.32       924.85874
