 $#  Uses Murphy approved list for HIRESb 
4662.594029 1   Th
4663.202971 1   Th
4666.005161 1   Th
4666.516185 1   Th
4666.798835 1   Th
4668.171424 1   Th
4669.984249 1   Th
4680.645261 1   Th
4681.496464 1   Ar
4682.730405 1   Th
4683.351536 1   Th
4686.194700 1   Th
4686.572008 1   Th
4688.277539 1   Th
4690.334215 1   Th
4690.622309 1   Th
4691.049606 1   Th
4694.091583 1   Th
4700.771172 1   Th
4705.296017 1   Th
4706.250317 1   Th
4708.293640 1   Th
4710.823515 1   Ar
4712.840378 1   Th
4715.430361 1   Th
4717.389871 1   Th
4719.692712 1   Th
4720.457623 1   XX
4720.780633 1   Th
4721.276176 1   Th
4721.590308 1   Ar
4722.088747 1   Th
4723.784408 1   Th
4729.128367 1   Th
4729.879829 1   Th
4732.054032 1   Ar
4734.045668 1   Th
4737.918238 1   Th
4739.676734 1   Th
4742.566519 1   XX
4748.590862 1   Th
4749.199831 1   Th
4752.414027 1   Th
4759.192055 1   XX
4760.054719 1   Th
4761.109795 1   Th
4761.861061 1   Th
4762.524882 1   Th
4765.595474 1   Th
4766.601069 1   Th
4766.961860 1   Th
4767.482687 1   XX
4772.796238 1   XX
4775.313691 1   Th
4775.794315 1   Th
4776.779309 1   XX
4777.191733 1   Th
4781.290151 1   XX
4782.761194 1   Th
4783.637168 1   Th
4784.931003 1   Th
4786.147921 1   Ar
4786.530632 1   Th
4787.147499 1   Th
4789.386339 1   Th
4790.437579 1   Th
4792.081510 1   Ar
4792.594889 1   XX
4793.244880 1   Th
4793.677241 1   XX
4795.913819 1   Th
4800.171433 1   Th
4801.348222 1   XX
4803.955663 1   Th
4809.614655 1   Th
4812.376111 1   Th
4817.832418 1   Th
4818.647871 1   Th
4819.193168 1   Th
4820.884994 1   Th
4823.182264 1   Th
4823.605718 1   Th
4823.996682 1   Th
4824.649210 1   Th
4828.463501 1   Th
4828.951594 1   XX
4829.796917 1   Th
4831.120944 1   Th
4831.597425 1   Th
4832.802415 1   Th
4837.695793 1   Th
