# COL_ERR=0.00000  COL_PHI=0.00000  TNT_ANG=71.0000  TNT_PHI=90.0810
## Alpha-tanx tany | xmask ymask
-0.1941161 -0.8722545 -326.85713   -8.97959
-0.1896116 -0.8723084 -319.42856   -8.97959
-0.1851082 -0.8723606 -311.99999   -8.97959
-0.1806056 -0.8724113 -304.57142   -8.97959
-0.1761039 -0.8724604 -297.14285   -8.97959
-0.1716030 -0.8725079 -289.71428   -8.97959
-0.1671031 -0.8725539 -282.28571   -8.97959
-0.1626039 -0.8725982 -274.85714   -8.97959
-0.1581055 -0.8726410 -267.42856   -8.97959
-0.1536080 -0.8726821 -259.99999   -8.97959
-0.1491112 -0.8727217 -252.57142   -8.97959
-0.1446151 -0.8727598 -245.14285   -8.97959
-0.1401198 -0.8727962 -237.71428   -8.97959
-0.1356251 -0.8728311 -230.28571   -8.97959
-0.1311312 -0.8728644 -222.85714   -8.97959
-0.1266379 -0.8728961 -215.42857   -8.97959
-0.1221452 -0.8729262 -207.99999   -8.97959
-0.1176532 -0.8729548 -200.57142   -8.97959
-0.1131617 -0.8729819 -193.14285   -8.97959
-0.1086709 -0.8730073 -185.71428   -8.97959
-0.1041805 -0.8730312 -178.28571   -8.97959
-0.0996908 -0.8730535 -170.85714   -8.97959
-0.0952015 -0.8730743 -163.42857   -8.97959
-0.0907127 -0.8730935 -156.00000   -8.97959
-0.0862243 -0.8731111 -148.57142   -8.97959
-0.0817364 -0.8731272 -141.14285   -8.97959
-0.0772490 -0.8731417 -133.71428   -8.97959
-0.0727619 -0.8731547 -126.28571   -8.97959
-0.0682752 -0.8731661 -118.85714   -8.97959
-0.0637888 -0.8731759 -111.42857   -8.97959
-0.0593028 -0.8731842 -104.00000   -8.97959
-0.0548171 -0.8731910  -96.57143   -8.97959
-0.0503317 -0.8731962  -89.14285   -8.97959
-0.0458465 -0.8731998  -81.71428   -8.97959
-0.0413616 -0.8732019  -74.28571   -8.97959
-0.0368769 -0.8732024  -66.85714   -8.97959
-0.0323924 -0.8732014  -59.42857   -8.97959
-0.0279081 -0.8731988  -52.00000   -8.97959
-0.0234239 -0.8731947  -44.57143   -8.97959
-0.0189398 -0.8731890  -37.14286   -8.97959
-0.0144558 -0.8731817  -29.71428   -8.97959
-0.0099720 -0.8731729  -22.28571   -8.97959
-0.0054881 -0.8731626  -14.85714   -8.97959
-0.0010044 -0.8731507   -7.42857   -8.97959
 0.0034794 -0.8731373    0.00000   -8.97959
 0.0079632 -0.8731223    7.42857   -8.97959
 0.0124470 -0.8731058   14.85714   -8.97959
 0.0169309 -0.8730877   22.28571   -8.97959
 0.0214149 -0.8730680   29.71428   -8.97959
 0.0258989 -0.8730468   37.14286   -8.97959
 0.0303831 -0.8730241   44.57143   -8.97959
 0.0348674 -0.8729998   52.00000   -8.97959
 0.0393519 -0.8729739   59.42857   -8.97959
 0.0438366 -0.8729465   66.85714   -8.97959
 0.0483215 -0.8729176   74.28571   -8.97959
 0.0528067 -0.8728870   81.71428   -8.97959
 0.0572921 -0.8728550   89.14285   -8.97959
 0.0617778 -0.8728213   96.57143   -8.97959
 0.0662638 -0.8727862  104.00000   -8.97959
 0.0707501 -0.8727494  111.42857   -8.97959
 0.0752368 -0.8727111  118.85714   -8.97959
 0.0797238 -0.8726713  126.28571   -8.97959
 0.0842113 -0.8726299  133.71428   -8.97959
 0.0886992 -0.8725869  141.14285   -8.97959
 0.0931875 -0.8725423  148.57142   -8.97959
 0.0976763 -0.8724962  156.00000   -8.97959
 0.1021655 -0.8724486  163.42857   -8.97959
 0.1066553 -0.8723993  170.85714   -8.97959
 0.1111456 -0.8723486  178.28571   -8.97959
 0.1156364 -0.8722962  185.71428   -8.97959
 0.1201279 -0.8722423  193.14285   -8.97959
 0.1246199 -0.8721868  200.57142   -8.97959
 0.1291125 -0.8721297  207.99999   -8.97959
 0.1336058 -0.8720710  215.42857   -8.97959
 0.1380997 -0.8720108  222.85714   -8.97959
 0.1425943 -0.8719490  230.28571   -8.97959
 0.1470897 -0.8718856  237.71428   -8.97959
 0.1515857 -0.8718207  245.14285   -8.97959
 0.1560825 -0.8717541  252.57142   -8.97959
 0.1605800 -0.8716860  259.99999   -8.97959
 0.1650784 -0.8716163  267.42856   -8.97959
 0.1695775 -0.8715450  274.85714   -8.97959
 0.1740775 -0.8714721  282.28571   -8.97959
 0.1785783 -0.8713977  289.71428   -8.97959
 0.1830800 -0.8713216  297.14285   -8.97959
 0.1875826 -0.8712439  304.57142   -8.97959
 0.1920860 -0.8711647  311.99999   -8.97959
 0.1965904 -0.8710838  319.42856   -8.97959
 0.2010958 -0.8710014  326.85713   -8.97959
 0.2056021 -0.8709173  334.28571   -8.97959
 0.2101094 -0.8708317  341.71428   -8.97959
 0.2146178 -0.8707444  349.14285   -8.97959
 0.2191271 -0.8706555  356.57142   -8.97959
 0.2236375 -0.8705650  363.99999   -8.97959
 0.2281489 -0.8704729  371.42856   -8.97959
 0.2326615 -0.8703792  378.85713   -8.97959
 0.2371751 -0.8702838  386.28570   -8.97959
 0.2416898 -0.8701869  393.71427   -8.97959
 0.2462057 -0.8700883  401.14285   -8.97959
 0.2507227 -0.8699880  408.57142   -8.97959
-0.2441522 -0.8751701 -408.57142   -4.48980
-0.2396283 -0.8752407 -401.14285   -4.48980
-0.2351055 -0.8753096 -393.71427   -4.48980
-0.2305839 -0.8753770 -386.28570   -4.48980
-0.2260634 -0.8754428 -378.85713   -4.48980
-0.2215439 -0.8755070 -371.42856   -4.48980
-0.2170256 -0.8755696 -363.99999   -4.48980
-0.2125083 -0.8756306 -356.57142   -4.48980
-0.2079920 -0.8756900 -349.14285   -4.48980
-0.2034767 -0.8757478 -341.71428   -4.48980
-0.1989624 -0.8758040 -334.28571   -4.48980
-0.1944491 -0.8758587 -326.85713   -4.48980
-0.1899367 -0.8759118 -319.42856   -4.48980
-0.1854253 -0.8759633 -311.99999   -4.48980
-0.1809147 -0.8760132 -304.57142   -4.48980
-0.1764051 -0.8760616 -297.14285   -4.48980
-0.1718963 -0.8761083 -289.71428   -4.48980
-0.1673884 -0.8761536 -282.28571   -4.48980
-0.1628814 -0.8761972 -274.85714   -4.48980
-0.1583751 -0.8762393 -267.42856   -4.48980
-0.1538696 -0.8762798 -259.99999   -4.48980
-0.1493649 -0.8763188 -252.57142   -4.48980
-0.1448610 -0.8763562 -245.14285   -4.48980
-0.1403577 -0.8763920 -237.71428   -4.48980
-0.1358552 -0.8764263 -230.28571   -4.48980
-0.1313534 -0.8764590 -222.85714   -4.48980
-0.1268522 -0.8764902 -215.42857   -4.48980
-0.1223517 -0.8765198 -207.99999   -4.48980
-0.1178518 -0.8765479 -200.57142   -4.48980
-0.1133525 -0.8765744 -193.14285   -4.48980
-0.1088538 -0.8765994 -185.71428   -4.48980
-0.1043556 -0.8766228 -178.28571   -4.48980
-0.0998579 -0.8766447 -170.85714   -4.48980
-0.0953608 -0.8766651 -163.42857   -4.48980
-0.0908642 -0.8766839 -156.00000   -4.48980
-0.0863680 -0.8767011 -148.57142   -4.48980
-0.0818723 -0.8767168 -141.14285   -4.48980
-0.0773770 -0.8767310 -133.71428   -4.48980
-0.0728821 -0.8767436 -126.28571   -4.48980
-0.0683875 -0.8767547 -118.85714   -4.48980
-0.0638934 -0.8767643 -111.42857   -4.48980
-0.0593995 -0.8767723 -104.00000   -4.48980
-0.0549060 -0.8767788  -96.57143   -4.48980
-0.0504128 -0.8767837  -89.14285   -4.48980
-0.0459198 -0.8767871  -81.71428   -4.48980
-0.0414271 -0.8767890  -74.28571   -4.48980
-0.0369345 -0.8767893  -66.85714   -4.48980
-0.0324422 -0.8767881  -59.42857   -4.48980
-0.0279501 -0.8767854  -52.00000   -4.48980
-0.0234581 -0.8767811  -44.57143   -4.48980
-0.0189662 -0.8767753  -37.14286   -4.48980
-0.0144744 -0.8767680  -29.71428   -4.48980
-0.0099827 -0.8767591  -22.28571   -4.48980
-0.0054911 -0.8767487  -14.85714   -4.48980
-0.0009995 -0.8767368   -7.42857   -4.48980
 0.0034921 -0.8767233    0.00000   -4.48980
 0.0079836 -0.8767083    7.42857   -4.48980
 0.0124753 -0.8766918   14.85714   -4.48980
 0.0169670 -0.8766737   22.28571   -4.48980
 0.0214587 -0.8766541   29.71428   -4.48980
 0.0259506 -0.8766330   37.14286   -4.48980
 0.0304426 -0.8766103   44.57143   -4.48980
 0.0349347 -0.8765861   52.00000   -4.48980
 0.0394270 -0.8765604   59.42857   -4.48980
 0.0439195 -0.8765331   66.85714   -4.48980
 0.0484123 -0.8765043   74.28571   -4.48980
 0.0529052 -0.8764740   81.71428   -4.48980
 0.0573984 -0.8764421   89.14285   -4.48980
 0.0618920 -0.8764087   96.57143   -4.48980
 0.0663858 -0.8763737  104.00000   -4.48980
